unit: MeV 
spectrum:
2.090208020802080124e-01 1.000000000000000048e-04
2.100209020902090162e-01 1.000000000000000048e-04
2.110210021002100200e-01 1.000000000000000048e-04
2.120211021102110238e-01 1.000000000000000048e-04
2.130212021202120276e-01 1.000000000000000048e-04
2.140213021302130314e-01 1.000000000000000048e-04
2.150214021402140352e-01 1.000000000000000048e-04
2.160215021502150112e-01 1.000000000000000048e-04
2.170216021602160150e-01 1.000000000000000048e-04
2.180217021702170188e-01 1.000000000000000048e-04
2.190218021802180226e-01 1.000000000000000048e-04
2.200219021902190264e-01 1.000000000000000048e-04
2.210220022002200302e-01 1.000000000000000048e-04
2.220221022102210340e-01 1.000000000000000048e-04
2.230222022202220378e-01 1.000000000000000048e-04
2.240223022302230138e-01 1.000000000000000048e-04
2.250224022402240176e-01 1.000000000000000048e-04
2.260225022502250214e-01 1.000000000000000048e-04
2.270226022602260252e-01 1.000000000000000048e-04
2.280227022702270290e-01 1.000000000000000048e-04
2.290228022802280328e-01 1.000000000000000048e-04
2.300229022902290366e-01 1.000000000000000048e-04
2.310230023002300126e-01 1.000000000000000048e-04
2.320231023102310164e-01 1.000000000000000048e-04
2.330232023202320202e-01 1.000000000000000048e-04
2.340233023302330240e-01 1.000000000000000048e-04
2.350234023402340278e-01 1.000000000000000048e-04
2.360235023502350316e-01 1.000000000000000048e-04
2.370236023602360353e-01 1.000000000000000048e-04
2.380237023702370391e-01 1.000000000000000048e-04
2.390238023802380152e-01 1.000000000000000048e-04
2.400239023902390190e-01 1.000000000000000048e-04
2.410240024002400228e-01 1.000000000000000048e-04
2.420241024102410266e-01 1.000000000000000048e-04
2.430242024202420303e-01 1.000000000000000048e-04
2.440243024302430341e-01 1.000000000000000048e-04
2.450244024402440379e-01 1.000000000000000048e-04
2.460245024502450140e-01 1.000000000000000048e-04
2.470246024602460178e-01 1.000000000000000048e-04
2.480247024702470215e-01 1.000000000000000048e-04
2.490248024802480253e-01 1.000000000000000048e-04
2.500249024902490014e-01 1.000000000000000048e-04
2.510250025002500052e-01 1.000000000000000048e-04
2.520251025102510090e-01 1.000000000000000048e-04
2.530252025202520128e-01 1.000000000000000048e-04
2.540253025302530165e-01 1.000000000000000048e-04
2.550254025402540203e-01 1.000000000000000048e-04
2.560255025502550241e-01 1.000000000000000048e-04
2.570256025602560279e-01 1.000000000000000048e-04
2.580257025702570317e-01 1.000000000000000048e-04
2.590258025802580355e-01 1.000000000000000048e-04
2.600259025902590393e-01 1.000000000000000048e-04
2.610260026002600431e-01 1.000000000000000048e-04
2.620261026102610469e-01 1.000000000000000048e-04
2.630262026202620507e-01 1.000000000000000048e-04
2.640263026302630545e-01 1.000000000000000048e-04
2.650264026402640027e-01 1.000000000000000048e-04
2.660265026502650065e-01 1.000000000000000048e-04
2.670266026602660103e-01 1.000000000000000048e-04
2.680267026702670141e-01 1.000000000000000048e-04
2.690268026802680179e-01 1.000000000000000048e-04
2.700269026902690217e-01 1.000000000000000048e-04
2.710270027002700255e-01 1.000000000000000048e-04
2.720271027102710293e-01 1.000000000000000048e-04
2.730272027202720331e-01 1.000000000000000048e-04
2.740273027302730369e-01 1.000000000000000048e-04
2.750274027402740407e-01 1.000000000000000048e-04
2.760275027502750445e-01 1.000000000000000048e-04
2.770276027602760482e-01 1.000000000000000048e-04
2.780277027702770520e-01 1.000000000000000048e-04
2.790278027802780558e-01 1.000000000000000048e-04
2.800279027902790041e-01 1.000000000000000048e-04
2.810280028002800079e-01 1.000000000000000048e-04
2.820281028102810117e-01 1.000000000000000048e-04
2.830282028202820155e-01 1.000000000000000048e-04
2.840283028302830193e-01 1.000000000000000048e-04
