unit: GeV 
spectrum:
2.558455584555845846e-02 3.228436190567531838e+01
2.568445684456844430e-02 3.213495012346481872e+01
2.578435784357843708e-02 3.198671503595004495e+01
2.588425884258842985e-02 3.183964300373479972e+01
2.598415984159841569e-02 3.169372059719149703e+01
2.608406084060840846e-02 3.154893459244411957e+01
2.618396183961839430e-02 3.140527196744318772e+01
2.628386283862838707e-02 3.126271989813012553e+01
2.638376383763837985e-02 3.112126575468888845e+01
2.648366483664836568e-02 3.098089709788236235e+01
2.658356583565835846e-02 3.084160167547133113e+01
2.668346683466834429e-02 3.070336741871399511e+01
2.678336783367833707e-02 3.056618243894370934e+01
2.688326883268832984e-02 3.043003502422315165e+01
2.698316983169831568e-02 3.029491363607268539e+01
2.708307083070830845e-02 3.016080690627123673e+01
2.718297182971830123e-02 3.002770363372765416e+01
2.728287282872828706e-02 2.989559278142084153e+01
2.738277382773827984e-02 2.976446347340679921e+01
2.748267482674826567e-02 2.963430499189109568e+01
2.758257582575825845e-02 2.950510677436473728e+01
2.768247682476825122e-02 2.937685841080227434e+01
2.778237782377823706e-02 2.924954964092023602e+01
2.788227882278822983e-02 2.912317035149446198e+01
2.798217982179821567e-02 2.899771057373506622e+01
2.808208082080820844e-02 2.887316048071725305e+01
2.818198181981820122e-02 2.874951038486689114e+01
2.828188281882818705e-02 2.862675073549932847e+01
2.838178381783817983e-02 2.850487211641019414e+01
2.848168481684817260e-02 2.838386524351692231e+01
2.858158581585815844e-02 2.826372096254971567e+01
2.868148681486815121e-02 2.814443024679076188e+01
2.878138781387813705e-02 2.802598419486055548e+01
2.888128881288812982e-02 2.790837402855013138e+01
2.898118981189812260e-02 2.779159109069819067e+01
2.908109081090810843e-02 2.767562684311191035e+01
2.918099180991810121e-02 2.756047286453048528e+01
2.928089280892808705e-02 2.744612084863042156e+01
2.938079380793807982e-02 2.733256260207139476e+01
2.948069480694807259e-02 2.721979004258198742e+01
2.958059580595805843e-02 2.710779519708413332e+01
2.968049680496805121e-02 2.699657019985536266e+01
2.978039780397804398e-02 2.688610729072827965e+01
2.988029880298802982e-02 2.677639881332586569e+01
2.998019980199802259e-02 2.666743721333227413e+01
3.008010080100800843e-02 2.655921503679799756e+01
3.018000180001800120e-02 2.645172492847869350e+01
3.027990279902799398e-02 2.634495963020695086e+01
3.037980379803797981e-02 2.623891197929610897e+01
3.047970479704797259e-02 2.613357490697550389e+01
3.057960579605795842e-02 2.602894143685639605e+01
3.067950679506795120e-02 2.592500468342782938e+01
3.077940779407794397e-02 2.582175785058186435e+01
3.087930879308792981e-02 2.571919423016733575e+01
3.097920979209792258e-02 2.561730720057161648e+01
3.107911079110791536e-02 2.551609022532985804e+01
