#ZVView-data-copy:  10-Jul-2025 09:26:47
#=======================================
#
#name:   ENDF/B-VIII.1: XE-132(N,G)XE-133
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  2
#ldata:  2792
#data...
#            X            Y
#          MeV        barns
   0.000115728      13.7767 
   0.000115744      12.9302 
    0.00011576      12.1385 
   0.000115778      11.4001 
   0.000115795      10.7403 
   0.000115813      10.1476 
    0.00011583      9.61235 
   0.000115848       9.1265 
   0.000115865      8.68338 
   0.000115883       8.2774 
   0.000115902      7.87041 
   0.000115922      7.46664 
   0.000115943      7.09731 
   0.000115974      6.59849 
   0.000116006       6.1556 
   0.000116037      5.75956 
    0.00011607      5.38034 
   0.000116107      4.99874 
   0.000116145      4.65843 
   0.000116182      4.35327 
    0.00011622      4.07835 
   0.000116257       3.8296 
   0.000116299      3.58138 
    0.00011634      3.35725 
   0.000116382      3.15407 
   0.000116423      2.96924 
   0.000116464      2.80057 
   0.000116513      2.62123 
   0.000116565      2.44773 
   0.000116617      2.29119 
   0.000116669      2.14945 
   0.000116721      2.02066 
   0.000116775      1.89783 
   0.000116835      1.77615 
   0.000116894      1.66595 
   0.000116954      1.56581 
   0.000117013      1.47452 
   0.000117073      1.39107 
    0.00011714      1.30529 
   0.000117207      1.22728 
   0.000117274      1.15611 
   0.000117341        1.091 
   0.000117408      1.03128 
   0.000117487     0.967214 
   0.000117572      0.90485 
   0.000117656     0.848363 
   0.000117741     0.797033 
   0.000117826     0.750248 
   0.000117914     0.705953 
   0.000118008     0.662698 
   0.000118102     0.623321 
   0.000118196     0.587369 
   0.000118291     0.554456 
   0.000118385     0.524245 
   0.000118497      0.49148 
   0.000118609     0.461706 
    0.00011872     0.434569 
   0.000118832     0.409767 
   0.000118944      0.38704 
   0.000119071     0.363456 
   0.000119206      0.34075 
   0.000119341     0.320118 
   0.000119476     0.301313 
    0.00011961     0.284126 
    0.00011975     0.267855 
   0.000119899     0.251998 
   0.000120047     0.237518 
   0.000120196     0.224261 
   0.000120295     0.216036 
   0.000120494     0.200899 
    0.00012068      0.18807 
   0.000120867      0.17644 
   0.000121054     0.165867 
    0.00012124     0.156225 
   0.000121427      0.14741 
   0.000121632      0.13858 
   0.000121846      0.13019 
    0.00012206     0.122552 
   0.000122274     0.115576 
   0.000122488     0.109187 
   0.000122711     0.103083 
   0.000122952    0.0970517 
   0.000123193    0.0915443 
   0.000123434    0.0865023 
   0.000123595    0.0833742 
   0.000123917    0.0776189 
   0.000124221    0.0727176 
   0.000124525    0.0682772 
    0.00012483    0.0642423 
   0.000125134    0.0605656 
   0.000125438    0.0572062 
   0.000125761    0.0539501 
   0.000126093    0.0508936 
   0.000126425    0.0481009 
   0.000126758    0.0455462 
    0.00012709    0.0431968 
   0.000127532    0.0403439 
   0.000127974    0.0377848 
   0.000128416    0.0354806 
   0.000128858    0.0333927 
   0.000129281    0.0315744 
   0.000129683    0.0299861 
   0.000130286    0.0278336 
